gene_id	gene_name	read_count	rpm	tpm	mean_depth	percent_coverage	gene_length
0|AAA23235.1|M80837.1|1|1|etx|etx|epsilon_toxin_type_B	etx	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23263.1|M92906.1|1|1|bont_F6|bont_F6|botulinum_neurotoxin_subtype_F6	bont_F6	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23405.1|M35257.1|1|1|fasA|fasA|F6_fimbrial_major_subunit_FasA	fasA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23421.1|M21788.1|1|1|fim41a|fim41a|fimbrial_adhesin_F41_protein_Fim41a	fim41a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23523.1|M15677.1|1|1|bmaE|bmaE|M_agglutinin-type_afimbrial_adhesin_BmaE/AfaE-8	bmaE	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23734.1|M61713.1|1|1|fedA|fedA|F18_fimbrial_major_subunit_FedA	fedA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23736.1|L14319.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAA23737.1|L14318.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24032.1|M29374.1|1|1|faeG|faeG|F4_(K88)_fimbria_major_subunit/adhesin_FaeG	faeG	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24035.1|M29376.1|1|1|faeG|faeG|F4_(K88)_fimbria_major_subunit/adhesin_FaeG	faeG	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24293.1|M20181.1|1|1|papG-II|papG-II|P_fimbria_tip_G-adhesin_PapG-II	papG-II	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24390.1|M25302.1|1|1|faeG|faeG|F4_(K88)_fimbria_major_subunit/adhesin_FaeG	faeG	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24632.1|M29153.1|1|1|stxA2f|stxA2f|Shiga_toxin_Stx2f_subunit_A	stxA2f	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24633.1|M29153.1|1|1|stxB2f|stxB2f|Shiga_toxin_Stx2f_subunit_B	stxB2f	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24653.1|M25607.1|1|1|sta1|sta1|heat-stable_enterotoxin_ST-I_group_a	sta1	0	0.0000	0.0000	0.0000	0.00	0
0|AAA24698.1|AF218073.1|1|1|tsh|tsh|temperature-sensitive_protease_autotransporter_hemagglutinin_Tsh	tsh	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25276.1|L28104.1|1|1|cadC_Lm|cadC_Lm|Cd(II)-sensing_metalloregulatory_transcriptional_repressor_CadC	cadC_Lm	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25636.1|M86824.1|1|1|arsR_pI258|arsR_pI258|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	arsR_pI258	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25637.1|M86824.1|1|1|arsB_pI258|arsB_pI258|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_pI258	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25638.1|M86824.1|1|1|arsC_thio|arsC_thio|thioredoxin-dependent_arsenate_reductase	arsC_thio	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25803.1|L05176.1|1|1|copR|copR|heavy_metal_response_regulator_transcription_factor_CopR	copR	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25804.1|L05176.1|1|1|copS|copS|copper_resistance_membrane_spanning_protein_CopS	copS	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25806.1|M19930.1|1|1|multi_CopA|multi_CopA|laccase-like_oxidase_CopA	multi_CopA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25807.1|M19930.1|1|1|bind_CopB|bind_CopB|copper-binding_protein_CopB	bind_CopB	0	0.0000	0.0000	0.0000	0.00	0
0|AAA25808.1|M19930.1|1|1|copC_Psyr|copC_Psyr|copper_homeostasis_periplasmic_binding_protein_CopC	copC_Psyr	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26402.1|M62426.1|1|1|klaB|klaB|tellurium_resistance_system_protein_klaB	klaB	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26403.1|M62426.1|1|1|klaC|klaC|tellurium_resistance_system_protein_klaC	klaC	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26617.1|M21319.1|1|1|see|see|staphylococcal_enterotoxin_type_E	see	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26624.1|M28364.1|1|1|sec2|sec2|staphylococcal_enterotoxin_type_C2	sec2	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26625.1|M17347.1|1|1|eta|eta|exfoliative_toxin_A	eta	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26628.1|M17348.1|1|1|etb|etb|exfoliative_toxin_B	etb	0	0.0000	0.0000	0.0000	0.00	0
0|AAA26682.1|J02615.1|1|1|tst|tst|toxic_shock_syndrome_toxin_TSST-1	tst	0	0.0000	0.0000	0.0000	0.00	0
0|AAA27587.1|M80565.1|1|1|arsR_pSX267|arsR_pSX267|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	arsR_pSX267	0	0.0000	0.0000	0.0000	0.00	0
0|AAA27588.1|M80565.1|1|1|arsB_pI258|arsB_pI258|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_pI258	0	0.0000	0.0000	0.0000	0.00	0
0|AAA27589.1|M80565.1|1|1|arsC_thio|arsC_thio|thioredoxin-dependent_arsenate_reductase	arsC_thio	0	0.0000	0.0000	0.0000	0.00	0
0|AAA32182.1|K01722.1|1|1|tox|tox|diphtheria_toxin_Tox	tox	0	0.0000	0.0000	0.0000	0.00	0
0|AAA57451.1|U12894.1|1|1|aggD|aggD|aggregative_adherence_fimbria_I_chaperone_AggD	aggD	0	0.0000	0.0000	0.0000	0.00	0
0|AAA57452.1|U12894.1|1|1|aggC|aggC|aggregative_adherence_fimbria_I_usher_protein_AggC	aggC	0	0.0000	0.0000	0.0000	0.00	0
0|AAA57453.1|U12894.1|1|1|aggB|aggB|aggregative_adherence_fimbria_I_minor_subunit_AggB	aggB	0	0.0000	0.0000	0.0000	0.00	0
0|AAA57454.1|U12894.1|1|1|aggA|aggA|aggregative_adherence_fimbria_I_major_subunit_AggA	aggA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA65102.1|L31363.1|1|1|nccX|nccX|periplasmic_metal_sensor_NccX	nccX	0	0.0000	0.0000	0.0000	0.00	0
0|AAA65103.1|L31363.1|1|1|nccH|nccH|nickel/cobalt/cadmium_resistance_ECF_sigma_factor_NccH	nccH	0	0.0000	0.0000	0.0000	0.00	0
0|AAA69514.1|L33969.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAA71893.1|L04539.1|1|1|stxA1a|stxA1a|Shiga_toxin_Stx1a_subunit_A	stxA1a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA71894.1|L04539.1|1|1|stxB1a|stxB1a|Shiga_toxin_Stx1a_subunit_B	stxB1a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA72120.1|M98037.1|1|1|cpe|cpe|enterotoxin_CPE	cpe	0	0.0000	0.0000	0.0000	0.00	0
0|AAA74436.1|L11616.1|1|1|mexA|mexA|multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MexA	mexA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA80193.1|U14993.1|1|1|mtrC|mtrC|multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MtrC	mtrC	0	0.0000	0.0000	0.0000	0.00	0
0|AAA83973.1|AF138877.1|1|1|merR_Bc1|merR_Bc1|mercury_resistance_transcriptional_regulator_MerR1	merR_Bc1	0	0.0000	0.0000	0.0000	0.00	0
0|AAA83975.1|AF138877.1|1|1|merT_RC607|merT_RC607|mercuric_transport_protein_MerT	merT_RC607	0	0.0000	0.0000	0.0000	0.00	0
0|AAA83977.1|AF138877.1|1|1|merA|merA|mercury(II)_reductase	merA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA83978.1|AF138877.1|1|1|merB1|merB1|organomercurial_lyase_MerB1	merB1	0	0.0000	0.0000	0.0000	0.00	0
0|AAA85087.1|L43373.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA85196.1|U42629.1|1|1|cnf1|cnf1|cytotoxic_necrotizing_factor_CNF1	cnf1	0	0.0000	0.0000	0.0000	0.00	0
0|AAA86846.1|U59239.2|1|1|terZ|terZ|tellurium_resistance-associated_protein_TerZ	terZ	5	0.4001	0.0000	0.0050	32.40	0
0|AAA88369.1|M15049.1|1|1|merB|merB|organomercurial_lyase_MerB	merB	0	0.0000	0.0000	0.0000	0.00	0
0|AAA88370.1|M15049.1|1|1|merD|merD|mercury_resistance_co-regulator_MerD	merD	0	0.0000	0.0000	0.0000	0.00	0
0|AAA88371.1|M15049.1|1|1|merE|merE|broad-spectrum_mercury_transporter_MerE	merE	0	0.0000	0.0000	0.0000	0.00	0
0|AAA88432.1|M29034.1|1|1|chrA|chrA|chromate_resistance_efflux_protein_ChrA	chrA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA88550.1|M11118.1|1|1|seb|seb|staphylococcal_enterotoxin_type_B	seb	0	0.0000	0.0000	0.0000	0.00	0
0|AAA88694.1|M29945.1|1|1|ail|ail|attachment_invasion_locus_protein_Ail	ail	0	0.0000	0.0000	0.0000	0.00	0
0|AAA92037.1|U13078.1|1|1|cph|cph|capreomycin_phosphotransferase	cph	0	0.0000	0.0000	0.0000	0.00	0
0|AAA92618.1|L77091.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA92621.1|L77091.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAA93060.1|U13073.1|1|1|arsD|arsD|arsenite_efflux_transporter_metallochaperone_ArsD	arsD	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98151.1|M19473.1|1|1|stxA1a|stxA1a|Shiga_toxin_Stx1a_subunit_A	stxA1a	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98221.1|M24940.1|1|1|merR_Ps|merR_Ps|mercury_resistance_transcriptional_regulator_MerR	merR_Ps	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98222.1|M24940.1|1|1|merT|merT|mercuric_transport_protein_MerT	merT	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98223.1|M24940.1|1|1|MerP_Gneg|MerP_Gneg|mercury_resistance_system_periplasmic_binding_protein_MerP	MerP_Gneg	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98245.1|L29436.1|1|1|merA|merA|mercury(II)_reductase	merA	9	0.7202	0.0000	0.0130	47.90	0
0|AAA98291.1|M20238.1|1|1|terC|terC|tellurium_resistance_membrane_protein_TerC	terC	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98292.1|M20238.1|1|1|terD|terD|tellurium_resistance_membrane_protein_TerD	terD	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98293.1|M20238.1|1|1|terE|terE|tellurium_resistance_cAMP_binding_protein_TerE	terE	0	0.0000	0.0000	0.0000	0.00	0
0|AAA98347.1|M19437.1|1|1|stxA1a|stxA1a|Shiga_toxin_Stx1a_subunit_A	stxA1a	0	0.0000	0.0000	0.0000	0.00	0
0|AAB06195.1|M28521.1|1|1|sed|sed|staphylococcal_enterotoxin_type_D	sed	0	0.0000	0.0000	0.0000	0.00	0
0|AAB09624.1|U38947.1|1|1|arsR_R46|arsR_R46|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	arsR_R46	0	0.0000	0.0000	0.0000	0.00	0
0|AAB09625.1|U38947.1|1|1|arsD|arsD|arsenite_efflux_transporter_metallochaperone_ArsD	arsD	0	0.0000	0.0000	0.0000	0.00	0
0|AAB09626.1|U38947.1|1|1|arsA|arsA|arsenite_efflux_transporter_ATPase_subunit_ArsA	arsA	0	0.0000	0.0000	0.0000	0.00	0
0|AAB09628.1|U38947.1|1|1|arsC_gluta|arsC_gluta|glutaredoxin-dependent_arsenate_reductase	arsC_gluta	0	0.0000	0.0000	0.0000	0.00	0
0|AAB20438.1|S68237.1|1|1|focG|focG|F1C_fimbria_minor_subunit_FocG	focG	0	0.0000	0.0000	0.0000	0.00	0
0|AAB24244.1|S49407.1|1|1|bont_D|bont_D|botulinum_neurotoxin_type_D	bont_D	0	0.0000	0.0000	0.0000	0.00	0
0|AAB26855.2|AH004279.2|1|1|nfaE|nfaE|Dr_family_non-fimbrial_adhesin_I_chaperone_NfaE	nfaE	0	0.0000	0.0000	0.0000	0.00	0
0|AAB42203.1|U58366.1|1|1|arsC_gluta|arsC_gluta|glutaredoxin-dependent_arsenate_reductase	arsC_gluta	0	0.0000	0.0000	0.0000	0.00	0
0|AAB42204.1|U58366.1|1|1|arsB_pYV|arsB_pYV|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_pYV	0	0.0000	0.0000	0.0000	0.00	0
0|AAB59075.1|K03089.1|1|1|merT|merT|mercuric_transport_protein_MerT	merT	0	0.0000	0.0000	0.0000	0.00	0
0|AAB59153.1|J04551.1|1|1|cadC_Sa|cadC_Sa|Cd(II)/Pb(II)/Zn(II)-sensing_metalloregulatory_transcriptional_repressor_CadC	cadC_Sa	0	0.0000	0.0000	0.0000	0.00	0
0|AAB67969.1|U77368.1|1|1|inlC2|inlC2|class_1_internalin_InlC2	inlC2	0	0.0000	0.0000	0.0000	0.00	0
0|AAB67970.1|U77368.1|1|1|inlD|inlD|class_1_internalin_InlD	inlD	0	0.0000	0.0000	0.0000	0.00	0
0|AAB82330.1|AF012835.2|1|1|aafA|aafA|aggregative_adherence_fimbria_II_major_subunit_AafA	aafA	0	0.0000	0.0000	0.0000	0.00	0
0|AAB88410.1|AF013122.1|1|1|tir|tir|type_III_secretion_system_LEE_translocated_intimin_receptor_Tir	tir	0	0.0000	0.0000	0.0000	0.00	0
0|AAC15683.1|AF045568.1|1|1|tir|tir|type_III_secretion_system_LEE_translocated_intimin_receptor_Tir	tir	0	0.0000	0.0000	0.0000	0.00	0
0|AAC21574.1|AF068634.1|1|1|hld|hld|delta-hemolysin	hld	0	0.0000	0.0000	0.0000	0.00	0
0|AAC23256.1|L42023.1|1|1|hmrM|hmrM|sodium-coupled_multidrug_efflux_MATE_transporter_HmrM	hmrM	0	0.0000	0.0000	0.0000	0.00	0
0|AAC23714.1|AF047365.1|1|1|ipaH9.8|ipaH9.8|T3SS_effector_E3_ubiquitin-protein_ligase_IpaH9.8	ipaH9.8	0	0.0000	0.0000	0.0000	0.00	0
0|AAC24352.1|AF043471.1|1|1|ehxA|ehxA|enterohemolysin_EhxA	ehxA	0	0.0000	0.0000	0.0000	0.00	0
0|AAC26634.1|AF056581.1|1|1|pet|pet|serine_protease_autotransporter_toxin_Pet	pet	0	0.0000	0.0000	0.0000	0.00	0
0|AAC27654.1|L77965.1|1|1|cpb2|cpb2|beta-2_toxin_CPB2	cpb2	0	0.0000	0.0000	0.0000	0.00	0
0|AAC31499.1|AF071034.1|1|1|espB|espB|type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB	espB	0	0.0000	0.0000	0.0000	0.00	0
0|AAC33154.1|AF004308.1|1|1|lngA|lngA|type_IV_pilus_longus_major_pilin	lngA	0	0.0000	0.0000	0.0000	0.00	0
0|AAC33908.1|AF071413.3|1|1|merC|merC|organomercurial_transporter_MerC	merC	0	0.0000	0.0000	0.0000	0.00	0
0|AAC34727.1|U19784.1|1|1|faeG|faeG|F4_(K88)_fimbria_major_subunit/adhesin_FaeG	faeG	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38219.1|U80214.1|1|1|MerP_Gneg|MerP_Gneg|mercury_resistance_system_periplasmic_binding_protein_MerP	MerP_Gneg	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38220.1|U80214.1|1|1|merA|merA|mercury(II)_reductase	merA	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38221.1|U80214.1|1|1|merD|merD|mercury_resistance_co-regulator_MerD	merD	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38229.1|U90263.1|1|1|merR_Ps|merR_Ps|mercury_resistance_transcriptional_regulator_MerR	merR_Ps	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38230.1|U90263.1|1|1|merB_gen|merB_gen|organomercurial_lyase_MerB	merB_gen	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38231.1|U90263.1|1|1|merT|merT|mercuric_transport_protein_MerT	merT	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38232.1|U90263.1|1|1|MerP_Gneg|MerP_Gneg|mercury_resistance_system_periplasmic_binding_protein_MerP	MerP_Gneg	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38233.1|U90263.1|1|1|merC|merC|organomercurial_transporter_MerC	merC	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38236.1|U81032.1|1|1|merE|merE|broad-spectrum_mercury_transporter_MerE	merE	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38390.1|AF022236.1|1|1|tir|tir|type_III_secretion_system_LEE_translocated_intimin_receptor_Tir	tir	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38394.1|AF022236.1|1|1|espA|espA|type_III_secretion_system_LEE_translocon_filament_protein_EspA	espA	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38396.1|AF022236.1|1|1|espB|espB|type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB	espB	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38400.1|AF022236.1|1|1|espF|espF|type_III_secretion_system_LEE_effector_EspF	espF	0	0.0000	0.0000	0.0000	0.00	0
0|AAC38671.1|AF031417.2|1|1|ttgB|ttgB|multidrug_efflux_RND_transporter_permease_subunit_TtgB	ttgB	0	0.0000	0.0000	0.0000	0.00	0
0|AAC41416.1|M55661.1|1|1|cfaC|cfaC|CFA/I_pilus_usher_protein_CfaC	cfaC	0	0.0000	0.0000	0.0000	0.00	0
0|AAC44731.1|U69128.1|1|1|espC|espC|serine_protease_autotransporter_toxin_EspC	espC	0	0.0000	0.0000	0.0000	0.00	0
0|AAC44736.1|U49054.1|1|1|terW|terW|tellurium_resistance_protein_TerW	terW	0	0.0000	0.0000	0.0000	0.00	0
0|AAC45093.1|U04844.1|1|1|cssA|cssA|CS6_fimbrial_subunit_A_CssA	cssA	0	0.0000	0.0000	0.0000	0.00	0
0|AAC45719.1|AF022140.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAC45722.1|AF022140.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAC45964.1|U72191.1|1|1|stxA2e|stxA2e|Shiga_toxin_Stx2e_subunit_A	stxA2e	0	0.0000	0.0000	0.0000	0.00	0
0|AAC45965.1|U72191.1|1|1|stxB2e|stxB2e|Shiga_toxin_Stx2e_subunit_B	stxB2e	0	0.0000	0.0000	0.0000	0.00	0
0|AAC46147.1|U50597.1|1|1|yfeA|yfeA|iron/manganese_ABC_transporter_substrate-binding_protein_YfeA	yfeA	0	0.0000	0.0000	0.0000	0.00	0
0|AAC46148.1|U50597.1|1|1|yfeB|yfeB|iron/manganese_ABC_transporter_ATP-binding_protein_YfeB	yfeB	0	0.0000	0.0000	0.0000	0.00	0
0|AAC46150.1|U50597.1|1|1|yfeD|yfeD|iron/manganese_ABC_transporter_permease_subunit_YfeD	yfeD	0	0.0000	0.0000	0.0000	0.00	0
0|AAC69314.1|AF070067.1|1|1|tir|tir|type_III_secretion_system_LEE_translocated_intimin_receptor_Tir	tir	0	0.0000	0.0000	0.0000	0.00	0
0|AAC69318.1|AF070069.1|1|1|tir|tir|type_III_secretion_system_LEE_translocated_intimin_receptor_Tir	tir	0	0.0000	0.0000	0.0000	0.00	0
0|AAC69584.1|AF091251.1|1|1|ybtQ|ybtQ|yersiniabactin_ABC_transporter_ATP-binding/permease_protein_YbtQ	ybtQ	0	0.0000	0.0000	0.0000	0.00	0
0|AAC74250.1|U00096.3|1|1|ariR|ariR|biofilm/acid-resistance_regulator_AriR	ariR	0	0.0000	0.0000	0.0000	0.00	0
0|AAC76298.1|U00096.3|1|1|acrF|acrF|multidrug_efflux_RND_transporter_permease_subunit_AcrF	acrF	0	0.0000	0.0000	0.0000	0.00	0
0|AAC77110.1|U00096.3|1|1|blaEC|blaEC|BlaEC_family_class_C_beta-lactamase	blaEC	0	0.0000	0.0000	0.0000	0.00	0
0|AAC77293.1|U00096.3|1|1|mdtM|mdtM|multidrug_efflux_MFS_transporter_MdtM	mdtM	0	0.0000	0.0000	0.0000	0.00	0
0|AAC78590.1|AF053140.1|1|1|sej|sej|staphylococcal_enterotoxin_type_J	sej	0	0.0000	0.0000	0.0000	0.00	0
0|AAC82360.1|AF054421.1|1|1|espB|espB|type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB	espB	0	0.0000	0.0000	0.0000	0.00	0
0|AAC99337.1|AF064683.1|1|1|espA|espA|type_III_secretion_system_LEE_translocon_filament_protein_EspA	espA	0	0.0000	0.0000	0.0000	0.00	0
0|AAD05936.1|AE001439.1|1|1|copP|copP|copper-binding_metallochaperone_CopP	copP	0	0.0000	0.0000	0.0000	0.00	0
0|AAD11743.1|AF067954.1|1|1|silE|silE|silver-binding_protein_SilE	silE	4	0.3201	0.0000	0.0040	33.90	0
0|AAD11746.1|AF067954.1|1|1|silC|silC|Cu(+)/Ag(+)_efflux_RND_transporter_outer_membrane_channel_SilC	silC	5	0.4001	0.0000	0.0100	77.50	0
0|AAD11748.1|AF067954.1|1|1|silB|silB|Cu(+)/Ag(+)_efflux_RND_transporter_periplasmic_adaptor_subunit_SilB	silB	7	0.5601	0.0000	0.0140	72.80	0
0|AAD11749.1|AF067954.1|1|1|silA|silA|Cu(+)/Ag(+)_efflux_RND_transporter_permease_subunit_SilA	silA	17	1.3603	0.0000	0.0310	99.90	0
0|AAD11750.1|AF067954.1|1|1|silP|silP|Ag(+)-translocating_P-type_ATPase_SilP	silP	13	1.0402	0.0000	0.0260	79.90	0
0|AAD12174.1|AF043627.1|1|1|stxA2b|stxA2b|Shiga_toxin_Stx2b_subunit_A	stxA2b	0	0.0000	0.0000	0.0000	0.00	0
0|AAD12176.1|AF029405.1|1|1|srpB|srpB|solvent_efflux_RND_transporter_permease_subunit_SrpB	srpB	0	0.0000	0.0000	0.0000	0.00	0
0|AAD12177.1|AF029405.1|1|1|srpC|srpC|solvent_efflux_RND_transporter_outer_membrane_subunit_SrpC	srpC	0	0.0000	0.0000	0.0000	0.00	0
0|AAD12178.1|AF029405.1|1|1|srpA|srpA|solvent_efflux_RND_transporter_periplasmic_adaptor_subunit_SrpA	srpA	0	0.0000	0.0000	0.0000	0.00	0
0|AAD15663.1|AF041464.1|1|1|tbtA|tbtA|multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_TbtA	tbtA	0	0.0000	0.0000	0.0000	0.00	0
0|AAD15664.1|AF041464.1|1|1|tbtB|tbtB|multidrug_efflux_RND_transporter_permease_subunit_TbtB	tbtB	0	0.0000	0.0000	0.0000	0.00	0
0|AAD15665.1|AF041464.1|1|1|tbtM|tbtM|multidrug_efflux_RND_transporter_outer_membrane_channel_subunit_TbtM	tbtM	0	0.0000	0.0000	0.0000	0.00	0
0|AAD16833.1|AF102990.1|1|1|virF_Yersin|virF_Yersin|virulence_regulon_transcriptional_activator_VirF	virF_Yersin	0	0.0000	0.0000	0.0000	0.00	0
0|AAD17509.1|AF055306.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAD17510.1|AF055307.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAD17511.1|AF055308.1|1|1|f17a|f17a|F17A_fimbrial_adhesin	f17a	0	0.0000	0.0000	0.0000	0.00	0
0|AAD17513.1|AF055310.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAD17514.1|AF055311.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAD17515.1|AF055312.1|1|1|f17g|f17g|F17G_fimbrial_adhesin	f17g	0	0.0000	0.0000	0.0000	0.00	0
0|AAD23953.1|AF097644.1|1|1|pic_auto|pic_auto|serine_protease_autotransporter_toxin_Pic	pic_auto	0	0.0000	0.0000	0.0000	0.00	0
0|AAD25959.1|AF138877.1|1|1|merR_Bc2|merR_Bc2|mercury_resistance_transcriptional_regulator_MerR2	merR_Bc2	0	0.0000	0.0000	0.0000	0.00	0
0|AAD27810.1|AF114828.1|1|1|aafC|aafC|aggregative_adherence_fimbria_II_usher_protein_AafC	aafC	0	0.0000	0.0000	0.0000	0.00	0
0|AAD28042.1|AF124202.1|1|1|blaEC|blaEC|BlaEC_family_class_C_beta-lactamase	blaEC	0	0.0000	0.0000	0.0000	0.00	0
0|AAD28079.1|AF052225.1|1|1|hlyE|hlyE|hemolysin_HlyE	hlyE	0	0.0000	0.0000	0.0000	0.00	0
0|AAD30557.1|AF145205.1|1|1|cseA|cseA|C22_fimbrial_major_subunit_CseA	cseA	0	0.0000	0.0000	0.0000	0.00	0
